week, name, version, count, created, downloads
2015/10, magic_cloud, 0.0.2, 1, 2015-03-03, 2436
2015/09, daru, 0.0.5, 9, 2015-02-28, 2726
2014/49, daru, 0.0.4, 8, 2014-12-01, 2525
2014/45, daru, 0.0.3.1, 7, 2014-11-05, 2526
2014/45, daru, 0.0.3, 6, 2014-11-04, 2512
2014/42, daru, 0.0.2.3, 5, 2014-10-14, 2576
2014/41, daru, 0.0.2.2, 4, 2014-10-11, 2521
2014/41, daru, 0.0.2.1, 3, 2014-10-09, 2513
2014/41, daru, 0.0.2, 2, 2014-10-09, 2521
2014/41, daru, 0.0.1, 1, 2014-10-06, 2509
2013/14, sequel_marginalia, 0.0.1, 1, 2013-04-04, 3517
