week, name, version, count, created, downloads
2018/16, unicode-categories, 1.2.1, 6, 2018-04-19, 1244
2018/16, unicode-confusable, 1.3.2, 7, 2018-04-19, 1330
2018/16, unicode-confusable, 1.3.1, 6, 2018-04-19, 1246
2018/16, unicode-display_width, 1.3.2, 20, 2018-04-19, 4764738
2018/16, unicode-display_width, 1.3.1, 19, 2018-04-19, 8863
2018/16, unicode-emoji, 1.0.3, 8, 2018-04-19, 12688
2018/16, unicode-emoji, 1.0.2, 7, 2018-04-19, 1288
2018/16, unicode-name, 1.5.2, 10, 2018-04-19, 1344
2018/16, unicode-name, 1.5.1, 9, 2018-04-19, 1242
2018/16, unicode-numeric_value, 1.3.2, 6, 2018-04-19, 1319
2018/16, unicode-numeric_value, 1.3.1, 5, 2018-04-19, 1234
2018/16, unicode-scripts, 1.2.1, 4, 2018-04-19, 1390
2018/16, unicode-sequence_name, 1.1.2, 5, 2018-04-19, 1348
2018/16, unicode-sequence_name, 1.1.1, 4, 2018-04-19, 1249
2018/16, unicode-types, 1.2.2, 8, 2018-04-19, 1370
2018/16, unicode-types, 1.2.1, 7, 2018-04-19, 1242
2018/14, unicode-emoji, 1.0.1, 6, 2018-04-06, 2926
2018/13, unicode-emoji, 1.0.0, 5, 2018-04-01, 4078
2018/13, characteristics, 1.0.0, 11, 2018-03-31, 1637
2018/13, microgem, 1.0.13, 14, 2018-03-31, 1450
2018/13, render_react, 1.0.1, 2, 2018-03-31, 1540
2018/13, symbolify, 1.3.1, 5, 2018-03-31, 2003
2018/09, unicode-emoji, 0.9.3, 4, 2018-03-01, 16083
2018/08, microgem, 1.0.12, 13, 2018-02-19, 1396
2018/01, core_docs, 0.9.3, 4, 2018-01-07, 5160
2017/49, wirb, 2.1.2, 21, 2017-12-08, 302169
2017/49, microgem, 1.0.11, 12, 2017-12-06, 1467
2017/46, irbtools, 2.2.0, 46, 2017-11-16, 12073
2017/46, irbtools-more, 2.2.1, 17, 2017-11-16, 6155
2017/44, unicode-confusable, 1.3.0, 5, 2017-11-03, 1488
2017/44, paint, 2.0.1, 13, 2017-11-01, 712392
2017/44, whirly, 0.2.6, 9, 2017-11-01, 82928
2017/39, code, 0.9.2, 3, 2017-09-27, 86287
2017/38, whirly, 0.2.5, 8, 2017-09-22, 2168
2017/29, unicode-emoji, 0.9.2, 3, 2017-07-20, 19237
2017/29, render_react, 1.0.0, 1, 2017-07-18, 1587
2017/28, microgem, 1.0.10, 11, 2017-07-13, 1569
2017/25, characteristics, 0.8.0, 10, 2017-06-20, 2035
2017/25, symbolify, 1.3.0, 4, 2017-06-20, 1781
2017/25, unibits, 2.6.0, 13, 2017-06-20, 1669
2017/25, unicode-age, 2.0.0, 5, 2017-06-20, 1661
2017/25, unicode-blocks, 1.2.0, 3, 2017-06-20, 3091
2017/25, unicode-categories, 1.2.0, 5, 2017-06-20, 4201
2017/25, unicode-confusable, 1.2.0, 4, 2017-06-20, 1555
2017/25, unicode-display_width, 1.3.0, 18, 2017-06-20, 20932054
2017/25, unicode-name, 1.5.0, 8, 2017-06-20, 4320
2017/25, unicode-numeric_value, 1.3.0, 4, 2017-06-20, 1613
2017/25, unicode-scripts, 1.2.0, 3, 2017-06-20, 1647
2017/25, unicode-sequence_name, 1.1.0, 3, 2017-06-20, 3975
2017/25, unicode-types, 1.2.0, 6, 2017-06-20, 4413
2017/25, unicode-x, 1.4.0, 8, 2017-06-20, 1685
2017/25, uniscribe, 1.1.0, 2, 2017-06-20, 1792
2017/17, pws-otp, 0.9.0, 1, 2017-04-26, 1821
2017/16, unicopy, 1.0.0, 1, 2017-04-17, 2684
2017/16, uniscribe, 1.0.0, 1, 2017-04-17, 1635
2017/15, unicode-display_width, 1.2.1, 17, 2017-04-10, 3497455
2017/15, unicode-emoji, 0.9.1, 2, 2017-04-10, 6708
2017/14, unicode-display_width, 1.2.0, 16, 2017-04-08, 27562
2017/14, unicode-emoji, 0.9.0, 1, 2017-04-08, 1556
2017/14, unicode-x, 1.3.0, 7, 2017-04-08, 1516
2017/14, unicode-sequence_name, 1.0.1, 2, 2017-04-06, 1672
2017/13, unicode-sequence_name, 1.0.0, 1, 2017-04-02, 1487
2017/13, unicode-x, 1.2.0, 6, 2017-04-02, 1476
2017/13, characteristics, 0.7.0, 9, 2017-03-31, 1921
2017/13, symbolify, 1.2.0, 3, 2017-03-31, 1686
2017/13, unibits, 2.5.0, 12, 2017-03-31, 1530
2017/13, characteristics, 0.6.0, 8, 2017-03-30, 1711
2017/13, symbolify, 1.1.0, 2, 2017-03-30, 1466
2017/12, characteristics, 0.5.2, 7, 2017-03-25, 1736
2017/12, symbolify, 1.0.0, 1, 2017-03-25, 1497
2017/12, unibits, 2.4.0, 11, 2017-03-25, 1491
2017/12, unicode-name, 1.4.2, 7, 2017-03-25, 1691
2017/12, characteristics, 0.5.1, 6, 2017-03-22, 1720
2017/12, characteristics, 0.4.0, 5, 2017-03-22, 1712
2017/12, unibits, 2.3.0, 10, 2017-03-22, 1476
2017/12, characteristics, 0.3.1, 4, 2017-03-21, 1674
2017/12, unibits, 2.2.0, 9, 2017-03-21, 1470
2017/11, irbtools, 2.1.0, 45, 2017-03-19, 33058
2017/11, unibits, 2.1.1, 8, 2017-03-19, 1481
2017/11, unicode-name, 1.4.1, 6, 2017-03-19, 1487
2017/11, unicode-types, 1.1.2, 5, 2017-03-19, 1741
2017/11, debugging, 1.1.1, 5, 2017-03-18, 147148
2017/11, fancy_irb, 1.1.0, 17, 2017-03-18, 101963
2017/11, wirb, 2.1.1, 20, 2017-03-18, 115606
2017/11, characteristics, 0.3.0, 3, 2017-03-14, 1770
2017/11, unibits, 2.1.0, 7, 2017-03-14, 1483
2017/11, characteristics, 0.2.0, 2, 2017-03-13, 1722
2017/11, unibits, 2.0.0, 6, 2017-03-13, 1471
2017/10, characteristics, 0.1.0, 1, 2017-03-12, 1705
2017/10, unibits, 1.3.0, 5, 2017-03-09, 1475
2017/10, unibits, 1.2.1, 4, 2017-03-09, 1438
2017/10, unicode-categories, 1.1.2, 4, 2017-03-09, 1777
2017/10, unibits, 1.2.0, 3, 2017-03-08, 1464
